currency,horizon_months,annual_borrow_rate_pct,collateral_type,collateral_shock_pct,initial_collateral_ratio_pct,liquidation_threshold_pct,liquidation_penalty_pct,healthy_positions_pct,near_liquidation_positions_pct,liquidated_positions_pct,mean_risk_adjusted_benefit_pct,positive_risk_adjusted_positions_pct,value_weighted_risk_adjusted_benefit_pct
TRY,12,20.0,BTC,40.0,175.0,150.0,10.0,17.55136069510945,24.15979562803078,58.28884367685977,-12.119724595302223,47.70999372810574,25.585522334149616
TRY,12,20.0,BTC,40.0,175.0,150.0,13.0,17.55136069510945,24.15979562803078,58.28884367685977,-13.827310372057008,46.0234660629331,24.81526023972816
TRY,12,20.0,BTC,40.0,200.0,150.0,5.0,42.083645653271326,1.1396490798672194,56.77670526686145,-9.216707207943834,51.214605864986005,26.94347816457341
TRY,12,20.0,BTC,40.0,200.0,150.0,10.0,42.083645653271326,1.1396490798672194,56.77670526686145,-12.005642409768042,47.7138180538771,25.733893680259026
TRY,12,20.0,BTC,40.0,200.0,150.0,13.0,42.083645653271326,1.1396490798672194,56.77670526686145,-13.679003530862577,46.02729038870447,25.008142989670397
TRY,12,20.0,BTC,60.0,150.0,150.0,5.0,0.0,0.0,100.0,-10.603646408093901,51.20542748313473,24.60312040753195
TRY,12,20.0,BTC,60.0,150.0,150.0,10.0,0.0,0.0,100.0,-14.779520810068187,47.68704777347754,21.05317816617611
TRY,12,20.0,BTC,60.0,150.0,150.0,13.0,0.0,0.0,100.0,-17.285045451252756,45.991341726453626,18.92321282136261
TRY,12,20.0,BTC,60.0,175.0,150.0,5.0,0.0,0.0,100.0,-10.603646408093901,51.20542748313473,24.60312040753195
TRY,12,20.0,BTC,60.0,175.0,150.0,10.0,0.0,0.0,100.0,-14.779520810068187,47.68704777347754,21.05317816617611
TRY,12,20.0,BTC,60.0,175.0,150.0,13.0,0.0,0.0,100.0,-17.285045451252756,45.991341726453626,18.92321282136261
TRY,12,20.0,BTC,60.0,200.0,150.0,5.0,0.0,0.0,100.0,-10.603646408093901,51.20542748313473,24.60312040753195
TRY,12,20.0,BTC,60.0,200.0,150.0,10.0,0.0,0.0,100.0,-14.779520810068187,47.68704777347754,21.05317816617611
TRY,12,20.0,BTC,60.0,200.0,150.0,13.0,0.0,0.0,100.0,-17.285045451252756,45.991341726453626,18.92321282136261
